project_number,project_id,project_name,billing_account_id,bucket_name,deleted_gb_per_month,dollar_impact,percent_increase,rank_number,soft_delete_retention_days,usage_measurement_gb_month
1.0778E+12,prod-cd-shared-infra,prod-cd-shared-infra,014161-F9CD83-314E17,us-east1-cld-composer-prod--a5e3dcf5-bucket,1.94,0,0.00%,21,0,4.28
9.35521E+11,sb-custdata-dataengineering-2,sb-custdata-dataengineering-2,014161-F9CD83-314E17,dev-cntst-workspace,0,0,0.00%,75,0,46.25
6.48699E+11,favorable-bison-88614,Analytics,014161-F9CD83-314E17,xxiong,0,0,0.00%,1,0,152.32
6.48699E+11,favorable-bison-88614,Analytics,014161-F9CD83-314E17,shared_analytics,0,0,0.00%,19,0,632.19
6.48699E+11,favorable-bison-88614,Analytics,014161-F9CD83-314E17,gs-datalabs-skapoor,0,0,0.00%,25,0,477.75
6.48699E+11,favorable-bison-88614,Analytics,014161-F9CD83-314E17,gs-datalabs-shuhe,0,0,0.00%,36,0,41.33
6.48699E+11,favorable-bison-88614,Analytics,014161-F9CD83-314E17,bkt_analytics_rptdata,0,0,0.00%,37,0,14.75
6.48699E+11,favorable-bison-88614,Analytics,014161-F9CD83-314E17,gs-datalabs-mbrulhardt,0,0,0.00%,45,0,22.97
6.48699E+11,favorable-bison-88614,Analytics,014161-F9CD83-314E17,gs-datalabs-lzeng,0,0,0.00%,58,0,180.36
6.48699E+11,favorable-bison-88614,Analytics,014161-F9CD83-314E17,adhocdownloadutil,0,0,0.00%,62,0,1208.64
6.48699E+11,favorable-bison-88614,Analytics,014161-F9CD83-314E17,shaomeipan,0,0,0.00%,71,0,16.74
4.27386E+11,appnexuslogdata,AppnexusLogData,014161-F9CD83-314E17,logs_legacy_archive,0,0,0.00%,5,0,297.12
4.27386E+11,appnexuslogdata,AppnexusLogData,014161-F9CD83-314E17,appnexuslogs_inbound_test,5.35,0,0.00%,10,0,23.57
4.27386E+11,appnexuslogdata,AppnexusLogData,014161-F9CD83-314E17,appnexuslogs_inbound,49.54,0,0.00%,29,0,308.73
81880247635,prod-cdp1-data-streams,prod-cdp1-data-streams,014161-F9CD83-314E17,bkt_prod_tealium_event_stream,0,0,0.00%,26,0,263.27
81880247635,prod-cdp1-data-streams,prod-cdp1-data-streams,014161-F9CD83-314E17,bkt_prod_tealium_audience_stream,0,0,0.00%,72,0,283.02
6.52142E+11,sb-analytics-modeling-1,sb-analytics-modeling-1,014161-F9CD83-314E17,bkt_tigeranalytics_staging_repository,0.21,0,0.00%,33,0,39.4
6.52142E+11,sb-analytics-modeling-1,sb-analytics-modeling-1,014161-F9CD83-314E17,bkt_tigeranalytics_source_code_repository,0,0,0.00%,49,0,32.33
